VIN,Make,Model,BodyClass,Trim
1ghdx03e3xd296374,oldsmobile,silhouette,minivan,
1g6dc67a150140059,cadillac,sts,sedan,
3gnda23d96s663858,chevrolet,hhr,suv,1/2 ton
3gnal2ek4fs506490,chevrolet,captiva sport,suv,
jtmzf4dv2cd033193,toyota,rav4,suv,standard
3gnda13d47s619858,chevrolet,hhr,suv,ls
1j4fa39s86p707533,jeep,wrangler,suv,x
1gkfk13209j103549,gmc,yukon,suv,sl
wdbrf52h47f847342,mercedes-benz,c-class,sedan,
wdbrf52h07f897882,mercedes-benz,c-class,sedan,
wbakb8c51cc964700,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1j4g248n4yc329921,jeep,grand cherokee,suv,laredo
1g1yy24u755107926,chevrolet,corvette,coupe,
1j4gw58n7yc268221,jeep,grand cherokee,suv,limited
3vwdl7aj2cm332030,volkswagen,jetta,sedan,
5tbbv58117s473751,toyota,tundra,pickup,limited
1g1ay0786c5123682,chevrolet,corvette,coupe,
jm3er293870151027,mazda,cx-7,suv,
wdbrf61j34e015342,mercedes-benz,c-class,sedan,
2g1wu583389203534,chevrolet,impala,sedan,
1gndx03e3wd331281,chevrolet,venture,minivan,
1gkct18x65k121708,gmc,jimmy utility,suv,
2a4rr4de3ar151488,chrysler,town and country,minivan,lx
1ftpx17l8ynb52719,ford,f-150,pickup,
wbahl83587dt09781,bmw,750i,sedan,
1gbhg39c891143903,chevrolet,express,cargo van,
wp0aa29946s716590,porsche,911,coupe,"carrera (2wd), carrera 4s (4wd)"
salae25475a346425,land rover,lr3,suv,se7
1j4fa29176p781740,jeep,wrangler,suv,se
jn1az34d46m302551,nissan,350z,coupe,
wbaka8c5xcdx01232,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
1fmfk17547la01992,ford,expedition max,suv,
3vw7a7at9cm800324,volkswagen,beetle,convertible,
salad244x5a341742,land rover,lr3,suv,se
1c3ccbhg8dn623722,chrysler,200,sedan,s
salsk25427a989975,land rover,range rover sport,suv,hse spec 3
4f2yz94106km27160,mazda,tribute,suv,
jf1sg69694h756017,subaru,forester,suv,2.5xt
2c8gf68404r324521,chrysler,pacifica,suv,touring
1fdss3bl0ada89196,ford,e-350,van,
wdbba48d8ja080758,mercedes-benz,560,roadster,
3d4pg5fg0bt519859,dodge,journey,suv,sxt
wddfh33x56j073029,mercedes-benz,unknown,unknown,
1gtec19r9wr507309,gmc,sierra,pickup,
3gnal3ek7fs520583,chevrolet,captiva sport,suv,
3vw7a7at3cm800304,volkswagen,beetle,convertible,
2c8gf68485r662105,chrysler,pacifica,suv,touring
5fnyf18625b027368,honda,pilot,suv,with res
1g1yy22g3w5115892,chevrolet,corvette,coupe,
3gnda23p36s608008,chevrolet,hhr,suv,1/2 ton
2c4gp44373r138957,chrysler,town and country,minivan,lx
1j4fa39s26p719600,jeep,wrangler,suv,x
1g3nl52e9xc372898,oldsmobile,alero,sedan,
jtjht00w343542063,lexus,lx,suv,470
4m2xv11t5xdj48253,mercury,villager,minivan,
1ftne1ew1ada45114,ford,e-150,cargo van,
5tbbv54177s454174,toyota,tundra,pickup,sr5
3gnda13d96s595586,chevrolet,hhr,suv,1/2 ton
3gnda23p26s546634,chevrolet,hhr,suv,1/2 ton
wp0ba29993s635097,porsche,911,convertible,
salmf1e42ca367975,land rover,range rover,suv,hse lux
1j4fa29pxyp773798,jeep,wrangler,suv,se
1fmru15l0ylc40157,ford,expedition,suv,
2a8gm68486r876254,chrysler,pacifica,suv,touring
jtjht00w764012417,lexus,lx,suv,470
salad25496a411943,land rover,lr3,suv,se / v8 se
1fdee3fl2cdb11135,ford,e-350,incomplete,
salme15467a245029,land rover,range rover,suv,hse spec 1
wbakb8c56cc964417,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1gcec19r5wr107845,chevrolet,gmt-400,pickup,
jm1cr29l970132857,mazda,mazda5,wagon,
1gyee63a070182186,cadillac,srx,suv,
1g1yy26u765118228,chevrolet,corvette,coupe,
4a32b2ff8be024656,mitsubishi,galant,sedan,
2a4rr4de8ar452239,chrysler,town and country,minivan,lx
1gnec03099r261197,chevrolet,tahoe,suv,tahoe police
1fmyu93143kd91092,ford,escape,suv,
1ftrx18lxxkc01376,ford,f-150,pickup,
wdcyr49e73x135481,mercedes-benz,g-class,suv,
4n2dn1113vd853490,nissan,quest,minivan,
4t3zf13c6xu100210,toyota,sienna,minivan,le/xle
2hjyk16546h524872,honda,ridgeline,pickup,
2c8gf68474r553942,chrysler,pacifica,suv,touring
2c8gm68405r271715,chrysler,pacifica,suv,touring
1gyee63a260172452,cadillac,srx,suv,
salmf15406a236161,land rover,range rover,suv,hse / supercharged spec 2
4f2cz94165km18679,mazda,tribute,suv,
2c4gp243x3r304103,chrysler,town and country,minivan,
2a4gm68406r613807,chrysler,pacifica,suv,touring
wbaka8c58cdx01343,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
salwr2vf6ea300127,land rover,range rover sport,suv,hse
2c4gm68475r371103,chrysler,pacifica,suv,touring
jtjbt20x070146270,lexus,gx,suv,470
3c4pddfg5et125200,dodge,journey,suv,r/t
1j4gz39109l717912,jeep,wrangler,suv,unlimited x
wbakb8c57cc965334,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
wp0ab29936s740618,porsche,911,coupe,turbo (4wd) / gt2 (2wd)
1g2jb12t2t7585241,pontiac,sunfire,coupe,
jtjbt20x360101029,lexus,gx,suv,470
jm1bk343x71713338,mazda,mazda3,hatchback,
2a4gm48426r710057,chrysler,pacifica,suv,base
1c3an79n85x037085,chrysler,crossfire,coupe,
1c3bc8fgxbn597669,chrysler,200,sedan,s / s convertible
wbakb8c54cc964089,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
jm3er293370123779,mazda,cx-7,suv,
4n2dn11w1sd807258,nissan,quest,minivan,
3gnda23p96s677205,chevrolet,hhr,suv,1/2 ton
2c4gm48l15r410635,chrysler,pacifica,suv,base
3b7hc13z4vg778217,dodge,ram,pickup,1500
1gyee63a650227550,cadillac,srx,suv,
jm3er293570101721,mazda,cx-7,suv,
2c4gm68445r339788,chrysler,pacifica,suv,touring
2fahp71w36x159024,ford,crown victoria,sedan,
1p4gp44g3xb588849,plymouth,grand voyager,minivan,se/expresso
wdbrf52h07f931559,mercedes-benz,c-class,sedan,
salmf15476a213010,land rover,range rover,suv,hse / supercharged spec 2
1fdss3bl6bda29988,ford,e-350,van,
2gtek19t2x1565335,gmc,sierra,pickup,1500 (1/2 ton)
wddng77x881166372,mercedes-benz,s-class,sedan,amg
1c4njrab3ed820080,jeep,patriot,suv,sport
2gcec19k8r1180823,chevrolet,gmt-400,pickup,
5y2sr67039z460575,pontiac,vibe,hatchback,
jn1rz24d2tx600880,nissan,300zx,hatchback,
1fdss3bl0ada59289,ford,e-350,van,
1fmfk16507la32853,ford,expedition max,suv,
2lmhj5nk8ebl54930,lincoln,mkt,suv,
4f2cz94165km13949,mazda,tribute,suv,
kl1jk69z86k307875,chevrolet,optra,hatchback,
1j4fa29126p782715,jeep,wrangler,suv,se
1ftnx21f4yed39780,ford,f-250,pickup,
4a32b2ff0ce019193,mitsubishi,galant,sedan,
1j4gw48n7yc243328,jeep,grand cherokee,suv,laredo
1gyee637440188895,cadillac,srx,suv,
1g1yy24u355110113,chevrolet,corvette,coupe,
5fnyf18536b021443,honda,pilot,suv,ex-l
jtjbt20x630022885,lexus,gx,suv,470
wba4a5c5xfg051201,bmw,428i,sedan,gran coupe
1fmzu62k75ub58957,ford,explorer,suv,
jm1cr29l070151314,mazda,mazda5,wagon,
salty16403a790560,land rover,discovery,suv,leather 5 seat
1g1yy0786f5138122,chevrolet,corvette,coupe,
2b4gp2538yr611501,dodge,caravan,minivan,base
1ftfx1ev0akc19689,ford,f-150,pickup,
jm3er293670116244,mazda,cx-7,suv,
2hkyf18654h510949,honda,pilot,suv,ex-l( with res)
1ftne24l3yha01020,ford,e-250,cargo van,
2hkrl1862yh511639,honda,odyssey,minivan,ex
1ftne2ew7ada99166,ford,e-250,cargo van,
2g11x5slxf9131948,chevrolet,impala,sedan,
wdbrf61j14a570989,mercedes-benz,c-class,sedan,
salmf13417a252115,land rover,range rover,suv,hse / supercharged spec 2
wp0ca29934s651110,porsche,911,convertible,carrera (2wd)/carrera 4 (4wd)/carrera 4s (4wd)
1fafp5524ya208035,ford,taurus,sedan,
wd3pf4cd4e5868106,mercedes-benz,sprinter,cargo van,high roof
3gnda13d16s574117,chevrolet,hhr,suv,1/2 ton
1j4fa49s76p784299,jeep,wrangler,suv,sport/unlimited
1b7gg22y3xs264577,dodge,dakota,pickup,sport/slt
1fmyu93193ka32031,ford,escape,suv,
wdbca35d1ga264760,mercedes-benz,420,sedan,
4a32b2ffxce022487,mitsubishi,galant,sedan,
2g4gv5ek1e9296842,buick,regal,sedan,
3c4pddfg1dt631492,dodge,journey,suv,r/t
3gnal4ek3fs502524,chevrolet,captiva sport,suv,
1fmzu73k65za19801,ford,explorer,suv,
2hkyf18735h502052,honda,pilot,suv,with navi
2fahp71vx8x145177,ford,crown victoria,sedan,
1falp5241rg229707,ford,taurus,sedan,
1j4gw58n1yc214297,jeep,grand cherokee,suv,limited
1ftre14w2yhb11384,ford,e-150,cargo van,
4a32b2ff4ce025210,mitsubishi,galant,sedan,
jm3er293170167280,mazda,cx-7,suv,
1ftpx17l0ynb75637,ford,f-150,pickup,
1fmeu15n6hla53716,ford,bronco,suv,
2c8gf68484r597366,chrysler,pacifica,suv,touring
1g1yy22g9y5105614,chevrolet,corvette,coupe,
1fmzu64p5yza85054,ford,explorer,suv,
1c4njrab9ed820181,jeep,patriot,suv,sport
jtjbt20x340049754,lexus,gx,suv,470
4f2yz92z85km27558,mazda,tribute,suv,
3vwf17at8em643397,volkswagen,beetle,hatchback,
jf1sg65605h728890,subaru,forester,suv,2.5xs
2g11x5sl1f9129697,chevrolet,impala,sedan,
2fmza5241yba42636,ford,windstar,minivan,
salsf25426a913126,land rover,range rover sport,suv,hse
4f2yz94105km43101,mazda,tribute,suv,
5tfbv54197x022218,toyota,tundra,pickup,sr5
1gndx03e2wd257271,chevrolet,venture,minivan,
1l1fm88w17y636036,lincoln,town car,limousine,
2a4gm68476r614114,chrysler,pacifica,suv,touring
3gnda23p96s528602,chevrolet,hhr,suv,1/2 ton
1gyee637580117162,cadillac,srx,suv,
wdbrf52h97f891949,mercedes-benz,c-class,sedan,
2c4rdgdg1er401114,dodge,grand caravan,minivan,crew
1j4fa49s0yp745539,jeep,wrangler,suv,sport
1ftyr10v3yta57460,ford,ranger,pickup,
jtjbt20x530005477,lexus,gx,suv,470
3gnal3ek1fs502161,chevrolet,captiva sport,suv,
2c4rdgdg0er350639,dodge,grand caravan,minivan,crew
1fmyu93183kc96003,ford,escape,suv,
1b4gp25372b652076,dodge,caravan,minivan,se
1ftex08l5vkd37923,ford,f-150,pickup,
saltw19414a860604,land rover,discovery,suv,leather 7 seat
jm1fe173850157073,mazda,rx-8,coupe,
3gnal3ek9fs517913,chevrolet,captiva sport,suv,
4m2zu86e44uj19515,mercury,mountaineer,suv,
salsf25416a929334,land rover,range rover sport,suv,hse
2hkyf18514h534219,honda,pilot,suv,ex-l
5gads13s642370914,buick,rainier,suv,
jm1fe17n740118345,mazda,rx-8,coupe,
2c4gm68415r674183,chrysler,pacifica,suv,touring
salsk25497a118023,land rover,range rover sport,suv,hse spec 3
3d4pg5fg5bt530792,dodge,journey,suv,sxt
1fmcu93174ka71826,ford,escape,suv,
4f2cz96165km03984,mazda,tribute,suv,
1gyee637540141813,cadillac,srx,suv,
1gyee63a840160464,cadillac,srx,suv,
wbakc8c57cc436575,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
wbaka8c56bcy37331,bmw,750i,sedan,
kmhcn35c08u088096,hyundai,accent,hatchback,
1gbhg31r221132692,chevrolet,express,incomplete,
jf1sg65684h729798,subaru,forester,suv,2.5xs
1lnhm82v16y610400,lincoln,town car,sedan,
wbahl83567dt07463,bmw,750i,sedan,
2c8gm68494r630378,chrysler,pacifica,suv,touring
salsh23436a971226,land rover,range rover sport,suv,supercharged
5tfbv58107x016107,toyota,tundra,pickup,limited
2a4rr4de8ar186317,chrysler,town and country,minivan,lx
jm3er29l770122389,mazda,cx-7,suv,
1gbdv13w08d209966,chevrolet,uplander,cargo van,ewb
5tfrv54117x028139,toyota,tundra,pickup,sr5
2a4gm48436r903012,chrysler,pacifica,suv,base
4a32b2ff3ae007066,mitsubishi,galant,sedan,
4f2yz94195km09934,mazda,tribute,suv,
2hkyf18534h581509,honda,pilot,suv,ex-l
1gmdx03e7xd343441,pontiac,montana,minivan,
2hkrl1857yh576865,honda,odyssey,minivan,lx
salwr2vf0ea302861,land rover,range rover sport,suv,hse
2hkyf18534h581686,honda,pilot,suv,ex-l
1ftnw21f0xea70212,ford,f-250,pickup,
1j4fa44s26p752710,jeep,wrangler,suv,sport/unlimited
wvwad63b05e080743,volkswagen,passat,sedan,
4t3zf13cxyu192150,toyota,sienna,minivan,le/xle
jtjbt20x140028031,lexus,gx,suv,470
3vwdk7aj9em442854,volkswagen,jetta,sedan,
4a4jn2as1be032102,mitsubishi,endeavor,suv,
2c4rdgdg5er307866,dodge,grand caravan,minivan,crew
2p4gp44g3wr517201,plymouth,grand voyager,minivan,se/expresso
waucfafc0cn167028,audi,a6,sedan,
3gnal2ek9fs516240,chevrolet,captiva sport,suv,
1fmfu18l7vlb01041,ford,expedition,suv,
jtjbt20x040036542,lexus,gx,suv,470
3gnda33p27s518629,chevrolet,hhr,suv,lt
wdbrf61j04f519468,mercedes-benz,c-class,sedan,
wdbrf52h87f846369,mercedes-benz,c-class,sedan,
1j4fa64s56p747268,jeep,wrangler,suv,"rubicon (u.s.) / ""tj"" rubicon (canada)"
1fdwe3fl7bda16797,ford,e-350,incomplete,
wbakc8c57cc435068,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
1b3el36x14n159140,dodge,stratus,sedan,se
jm1fe173340140891,mazda,rx-8,coupe,
4f2yz94145km15060,mazda,tribute,suv,
4f2cz94165km36101,mazda,tribute,suv,
wdbea30d4kb042586,mercedes-benz,300,sedan,
jtjbt20x630018691,lexus,gx,suv,470
1ftfw1ev5akb37749,ford,f-150,pickup,
jtjht00w164017418,lexus,lx,suv,470
1fdne3bl3cdb07407,ford,e-350,van,
jn1az34d44m100046,nissan,350z,coupe,
wp0ab29959s720892,porsche,911,coupe,"s (2wd), 4s (4wd)"
4a32b2ff3ce025182,mitsubishi,galant,sedan,
3gnal4ek2fs517712,chevrolet,captiva sport,suv,
1fdwe35l16da12431,ford,e-350,incomplete,srw/drw
1ftlr1fe0bpb06079,ford,ranger,pickup,
1gyee637150233440,cadillac,srx,suv,
4a32b2ff6ce016881,mitsubishi,galant,sedan,
1fmyu931x4ka51026,ford,escape,suv,
4a32b2ff4ce021092,mitsubishi,galant,sedan,
salme11433a141145,land rover,range rover,suv,feature specification 2
1j4gw68n9xc528221,jeep,grand cherokee,suv,limited
wba5m2c51fgh99123,bmw,535i,sedan,gt
3gnda33p07s604800,chevrolet,hhr,suv,lt
1ftrx14w37fa76892,ford,f-150,pickup,
1fmyu92154ka20865,ford,escape,suv,
jm1cr193370156842,mazda,mazda5,wagon,
wbahl83508dt11560,bmw,750i,sedan,
4a32b2ffxce020335,mitsubishi,galant,sedan,
4a32b2ff9ce015398,mitsubishi,galant,sedan,
1ghdx03e9xd231206,oldsmobile,silhouette,minivan,
jtjbt20x130012796,lexus,gx,suv,470
1g1yy26u875104162,chevrolet,corvette,coupe,
salsh23477a990878,land rover,range rover sport,suv,supercharged
2c8gm68484r564826,chrysler,pacifica,suv,touring
wbakc8c5xcc437686,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
wbakc6c51cc396899,bmw,750xi,sedan,750xi / alpina b7 xdrive swb (500 hp)
1fdsx2a53aeb02757,ford,f-250,pickup,
4a32b2ff5ce017567,mitsubishi,galant,sedan,
2d4fv48v45h611075,dodge,magnum,suv,base/sxt
2hkyf18455h508599,honda,pilot,suv,
1ftfx1ev5ake35148,ford,f-150,pickup,
1g1yy25u475130985,chevrolet,corvette,coupe,
salae25437a436805,land rover,lr3,suv,v6/v8 se
1j4fa29176p769510,jeep,wrangler,suv,se
jn1az34d75m606102,nissan,350z,coupe,
1d8hb38n18f156329,dodge,durango,suv,sxt
jtjht00w654002458,lexus,lx,suv,470
wbahl83548dt13957,bmw,750i,sedan,
3d4pg5fg3bt569560,dodge,journey,suv,sxt
1j4fa39s96p768521,jeep,wrangler,suv,x
2c4fj25b2yr770859,chrysler,voyager,minivan,fwd
jtjbt20x340041346,lexus,gx,suv,470
jf1sg63626h723548,subaru,forester,suv,2.5x
1fmzu63e24zb14178,ford,explorer,suv,
2c4gm68425r361191,chrysler,pacifica,suv,touring
2hkyf18194h593550,honda,pilot,suv,lx
wbakc8c54cc437506,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
1ftne24l3yhb23912,ford,e-250,cargo van,
2fahp71v78x100763,ford,crown victoria,sedan,
3gnda13d57s517808,chevrolet,hhr,suv,ls
2hkrl1858yh532261,honda,odyssey,minivan,lx
2c4rvabg7er135112,volkswagen,routan,minivan,se
jn1az34d36m303285,nissan,350z,coupe,
1c4gp54l4xb556161,chrysler,town and country,minivan,lx/sx
4a32b2ff9ce021900,mitsubishi,galant,sedan,
salsf25457a113650,land rover,range rover sport,suv,hse spec 2
3gnek12t96g164596,chevrolet,avalanche,sut,
3c4pddfg1ct151838,dodge,journey,suv,r/t
2c4rdgdg3er401146,dodge,grand caravan,minivan,crew
3gnal4ek7fs537521,chevrolet,captiva sport,suv,
wp0ab299x9s720774,porsche,911,coupe,"s (2wd), 4s (4wd)"
1fmpu18l1wlb68515,ford,expedition,suv,
2mefm75v87x626398,mercury,grand marquis,sedan,
1gccs19x5vk183288,chevrolet,s-10 pickup,pickup,1500 (1/2 ton)
2hkyf187x5h553841,honda,pilot,suv,with navi
1ftfx1ev3ake18512,ford,f-150,pickup,
wdbrf61j74e015019,mercedes-benz,c-class,sedan,
1gbhg39u671137930,chevrolet,express,cargo van,
2c8gf68464r177136,chrysler,pacifica,suv,touring
2g1wn52k9w9283884,chevrolet,lumina,sedan,
kmhcn3bcxau154339,hyundai,accent,hatchback,
2c4rdgdg7er144525,dodge,grand caravan,minivan,crew
kmhdn45d34u739153,hyundai,elantra,sedan,
2g11x5sl1f9127058,chevrolet,impala,sedan,
jm3er293770162309,mazda,cx-7,suv,
1ftfw1ev7ake22713,ford,f-150,pickup,
jn1az34d44t162665,nissan,350z,coupe,
2a4gm484x6r643143,chrysler,pacifica,suv,base
3gtek13229g139042,gmc,sierra,pickup,sl
jtjbt20x540061792,lexus,gx,suv,470
1mefm50275a614038,mercury,sable,sedan,
2gtek13zx61261553,gmc,sierra,pickup,1500 (1/2 ton)
jm1fe17n050158753,mazda,rx-8,coupe,
1c4njdab6ed815569,jeep,compass,suv,sport
wp0ab0942jn472161,porsche,944,coupe,
wbakc8c54cc437764,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
2fahp71v29x108948,ford,crown victoria,sedan,
wbahl83558dt12512,bmw,750i,sedan,
4m2zu86e24uj26544,mercury,mountaineer,suv,
2fahp71w47x138863,ford,crown victoria,sedan,
3gnal4ek1fs520245,chevrolet,captiva sport,suv,
jm1cr293170145621,mazda,mazda5,wagon,
1ftrx18l8xka95316,ford,f-150,pickup,
1b3el36j04n379154,dodge,stratus,sedan,se
1c3cdfbh3ed871745,dodge,dart,sedan,sxt
4n2xn11txyd832204,nissan,quest,minivan,
wbxpc73457we50771,bmw,x3,suv,3.0si sav
4n2xn11txxd814753,nissan,quest,minivan,
1fmzu62k35ub08072,ford,explorer,suv,
salsk25467a112695,land rover,range rover sport,suv,hse spec 3
1fmzu73k15ub84586,ford,explorer,suv,
4a32b2ff3ce025151,mitsubishi,galant,sedan,
2cndl937986068592,chevrolet,equinox,suv,
jm3er293470157133,mazda,cx-7,suv,
1d3hv18p79s804591,dodge,ram,pickup,1500
2c8gm68444r355986,chrysler,pacifica,suv,touring
1fdss3el6ada72656,ford,e-350,cargo van,
4a32b2ff1ce016254,mitsubishi,galant,sedan,
1gcdm19w5yb201394,chevrolet,astro van,cargo van,1/2 ton
1gbhc44k99e162033,chevrolet,silverado,incomplete,ls
1j4fa39s06p744527,jeep,wrangler,suv,x
waujgafc3cn088523,audi,a6,sedan,
4a32b2ff3ce016899,mitsubishi,galant,sedan,
knaht8a35e7020144,unknown,unknown,wagon,
1g1at55h797230347,chevrolet,cobalt,sedan,
3gnda33p97s618940,chevrolet,hhr,suv,lt
1gyde63a640115406,cadillac,srx,suv,
1fmzu62k12ud31691,ford,explorer,suv,
jtjbt20x160101935,lexus,gx,suv,470
saltl19414a838269,land rover,discovery,suv,duragrain 5 seat
4a32b2ff3ce025229,mitsubishi,galant,sedan,
jm1fe17nx50141569,mazda,rx-8,coupe,
3gnda13d97s620830,chevrolet,hhr,suv,ls
2b3hd56j9yh318454,dodge,intrepid,sedan,es
4a32b2ff0be021413,mitsubishi,galant,sedan,
jm3er293x70132396,mazda,cx-7,suv,
3gnda23p26s548139,chevrolet,hhr,suv,1/2 ton
4a32b2ff4ce009010,mitsubishi,galant,sedan,
2g1wl54t2p1106573,chevrolet,lumina,sedan,
2a8gf68406r604842,chrysler,pacifica,suv,touring
1fmpu16l2ylc34298,ford,expedition,suv,
4a32b2ff0ce016861,mitsubishi,galant,sedan,
jm1fe173240127551,mazda,rx-8,coupe,
1fmzu62k22zc75862,ford,explorer,suv,
1b3el36x23n590861,dodge,stratus,sedan,se
1lnbm81f0jy729287,lincoln,town car,sedan,
4f2cz96145km47708,mazda,tribute,suv,
2fahp71w04x156689,ford,crown victoria,sedan,
2gcec19rxv1262124,chevrolet,gmt-400,pickup,1500 (1/2 ton)
2gtek19t6x1552877,gmc,sierra,pickup,1500 (1/2 ton)
wbakb8c57bcy64437,bmw,750li,sedan,
1fdss3bl4ada11522,ford,e-350,van,
jn1az34e94t051859,nissan,350z,coupe,
1g1yy25u575139498,chevrolet,corvette,coupe,
1g2nf52e3ym883837,pontiac,grand am,sedan,
salme11483a118668,land rover,range rover,suv,feature specification 2
1ftne1ew0ada66519,ford,e-150,cargo van,
3c4pddfg4dt627050,dodge,journey,suv,r/t
1ftsw31f2yec49961,ford,f-350,pickup,
2c4rdgdg2er350657,dodge,grand caravan,minivan,crew
salsh23496a970131,land rover,range rover sport,suv,supercharged
jf1sg656x4g714466,subaru,forester,suv,2.5xs
wbakc8c52cc435902,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
2a4gf68466r761468,chrysler,pacifica,suv,touring
1ftns2el6ada84382,ford,e-250,cargo van,
1fd7x3a67cea03883,ford,f-350,pickup,
js2yc412185101067,suzuki,sx4,sedan,sedan base (us)/sedan popular pkg (us)/sedan base (canada)
2hkyf18515h532570,honda,pilot,suv,
1g2za5eb3a4124225,pontiac,g6,sedan,
jtjbt20x340052878,lexus,gx,suv,470
jm1fe173760202070,mazda,rx-8,coupe,
2d8hn44h08r104535,dodge,caravan,minivan,se
1gcdc14k3lz140490,chevrolet,gmt-400,pickup,
wdbrf52h87f918400,mercedes-benz,c-class,sedan,
jn1az34ex3t017900,nissan,350z,coupe,
1g1za5eb8af185644,chevrolet,malibu,sedan,
4a32b2ffxce019461,mitsubishi,galant,sedan,
3gnda13dx6s670280,chevrolet,hhr,suv,1/2 ton
1ftkr1ae0bpa22752,ford,ranger,pickup,
1fmfk20537la04754,ford,expedition max,suv,
2fahp71w73x212478,ford,crown victoria,sedan,
4a32b2ff4ce019732,mitsubishi,galant,sedan,
3gsalee1xas605460,saturn,vue,suv,xr v6
wbakb8c50cc963599,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
salsk25497a992310,land rover,range rover sport,suv,hse spec 3
1fmru15l7ylc45789,ford,expedition,suv,
2c4rdgdg0er140252,dodge,grand caravan,minivan,crew
1g1yy26e875101965,chevrolet,corvette,coupe,
2mefm75v77x636209,mercury,grand marquis,sedan,
1hgcd5692ta228473,honda,accord,sedan,
2hjyk16456h548668,honda,ridgeline,pickup,
2g1wu583781199079,chevrolet,impala,sedan,
1fdwe35l42ha91077,ford,e-350,incomplete,super duty base cutaway
5tbrt54187s453426,toyota,tundra,pickup,sr5
salsf25466a937655,land rover,range rover sport,suv,hse
1ftrx17l9yna81765,ford,f-150,pickup,
1fdne1bw3cda41763,ford,e-150,van,
1j4fy19s7vp486540,jeep,wrangler,suv,sport/tj
2d8hn44h38r634014,dodge,caravan,minivan,se
2hkyf185x6h538787,honda,pilot,suv,ex-l
wdbrf61j14f469728,mercedes-benz,c-class,sedan,
4a32b2ffxce021842,mitsubishi,galant,sedan,
jm3er293870156941,mazda,cx-7,suv,
2d4gp44313r113328,dodge,caravan,van,sport
1b4hr28zxxf605204,dodge,durango,suv,base
1ftzr15x0ytb14793,ford,ranger,pickup,
3c4pddfg2ct240222,dodge,journey,suv,r/t
4a32b2ff3ce022492,mitsubishi,galant,sedan,
2hkyf18715h557518,honda,pilot,suv,with navi
1b4gp44g1wb619144,dodge,caravan,minivan,se/sport
2hkyf18176h562994,honda,pilot,suv,lx
2a4rr4de0ar450291,chrysler,town and country,minivan,lx
3gnda23p16s629794,chevrolet,hhr,suv,1/2 ton
1fmfu18l2vla51200,ford,expedition,suv,
1gbds14e498152552,chevrolet,colorado,incomplete,1/2 ton
1ftef14n7tna06482,ford,f-150,pickup,
1fmzu73k15za44993,ford,explorer,suv,
salsk254x7a988329,land rover,range rover sport,suv,hse spec 3
2d8hn44h98r680415,dodge,caravan,minivan,se
salmf154x6a235826,land rover,range rover,suv,hse / supercharged spec 2
knadh5b35a6697322,kia,rio,hatchback,
jm1fe17n840140760,mazda,rx-8,coupe,
kmhd25lh9eu160495,hyundai,unknown,hatchback,
1fdsx205x8ee42287,ford,f-250,pickup,
1b7kf2369xj530989,dodge,ram,pickup,2500
1gyee637780102517,cadillac,srx,suv,
4a32b2ff9ce019600,mitsubishi,galant,sedan,
jn1az34d86m305582,nissan,350z,coupe,
2c8gf68454r647172,chrysler,pacifica,suv,touring
3c4pddfg5dt657075,dodge,journey,suv,r/t
1c4njrab6ed820221,jeep,patriot,suv,sport
2ftrf18w9yca64921,ford,f-150,pickup,
ja3aj26e37u015349,mitsubishi,lancer,sedan,
2c8gf68454r175295,chrysler,pacifica,suv,touring
jm3er293870125320,mazda,cx-7,suv,
1g11x5sl9fu102007,chevrolet,impala,sedan,
1gccs19x3x8176906,chevrolet,s-10 pickup,pickup,1500 (1/2 ton)
1fmfu18l6vlc23566,ford,expedition,suv,
1ftyr14v5xpb80467,ford,ranger,pickup,
2a4rr4de5ar390993,chrysler,town and country,minivan,lx
2a4gm68476r736102,chrysler,pacifica,suv,touring
1g1yy24u255110376,chevrolet,corvette,coupe,
jm3er293670136820,mazda,cx-7,suv,
wbakb8c50cc964798,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
kmhdt4bd8au912669,hyundai,unknown,sedan,
1b4hs28z5xf687296,dodge,durango,suv,base
1fd7w2bt9dea61867,ford,f-250,pickup,
jn8bt08t36w100151,nissan,x-trail,suv,
1g1yy26u565104246,chevrolet,corvette,coupe,
jtjht00w533526753,lexus,lx,suv,470
2fahp71w94x158649,ford,crown victoria,sedan,
1b7hc13z3wj121070,dodge,ram,pickup,1500
1j4gz78y7tc217100,jeep,grand cherokee,suv,limited
2c4rdgdgxer385138,dodge,grand caravan,minivan,crew
2t1kr30e47c661669,toyota,corolla matrix,wagon,
2cndl937886285213,chevrolet,equinox,suv,
4a32b2ff4ce019004,mitsubishi,galant,sedan,
